Participant_ID,trialN,blockN,moveCount,movesTrial,reward,RT,time_out,sequence_ID
1,7.0,15.0,4.0,"[0, 1, 1, 0]",86.0,829.179999999702,0,4.0
1,8.0,15.0,4.0,"[0, 1, 1, 0]",88.0,762.5600000000559,0,4.0
1,9.0,15.0,4.0,"[0, 1, 1, 0]",92.0,829.9400000004098,0,4.0
1,10.0,15.0,4.0,"[0, 1, 1, 0]",98.0,885.2200000002049,0,4.0
1,11.0,15.0,4.0,"[0, 1, 1, 0]",78.0,1164.5399999995716,0,4.0
1,12.0,15.0,4.0,"[0, 1, 1, 0]",72.0,688.9399999999442,0,4.0
1,13.0,15.0,4.0,"[0, 1, 1, 0]",74.0,1025.0,0,4.0
1,14.0,15.0,4.0,"[0, 1, 1, 0]",66.0,1382.1800000001676,0,4.0
1,15.0,15.0,4.0,"[0, 1, 1, 0]",80.0,2431.91999999946,0,4.0
1,16.0,15.0,4.0,"[1, 1, 2, 1]",96.0,3155.8599999998696,0,18.0
1,17.0,15.0,4.0,"[1, 1, 2, 1]",86.0,2983.5000000004657,0,18.0
1,18.0,15.0,4.0,"[1, 1, 2, 1]",86.0,1601.660000000149,0,18.0
1,19.0,15.0,4.0,"[1, 1, 2, 1]",70.0,1260.4799999995157,0,18.0
2,0.0,0.0,4.0,"[2, 1, 1, 1]",44.0,2798.7399999998743,0,30.0
2,1.0,0.0,4.0,"[2, 1, 1, 2]",60.0,2937.079999999958,0,31.0
2,2.0,0.0,4.0,"[2, 2, 1, 1]",66.0,3800.8399999999674,0,35.0
2,3.0,0.0,4.0,"[1, 1, 2, 2]",78.0,3578.420000000042,0,19.0
2,4.0,0.0,4.0,"[1, 1, 2, 2]",92.0,1216.4599999999627,0,19.0
2,5.0,0.0,4.0,"[1, 1, 2, 2]",76.0,871.520000000135,0,19.0
2,6.0,0.0,4.0,"[2, 1, 1, 2]",60.0,2575.0200000000186,0,31.0
2,7.0,0.0,4.0,"[1, 1, 2, 2]",94.0,1278.5400000000373,0,19.0
2,8.0,0.0,4.0,"[1, 1, 2, 2]",80.0,1039.8200000000652,0,19.0
2,9.0,0.0,4.0,"[1, 1, 2, 2]",86.0,1192.5600000000559,0,19.0
2,10.0,0.0,4.0,"[1, 1, 2, 2]",90.0,858.8800000000047,0,19.0
2,11.0,0.0,4.0,"[1, 1, 2, 2]",86.0,1032.6999999999534,0,19.0
2,12.0,0.0,4.0,"[1, 1, 2, 2]",98.0,841.7399999999907,0,19.0
2,13.0,0.0,4.0,"[1, 1, 2, 2]",92.0,893.140000000014,0,19.0
2,14.0,0.0,4.0,"[1, 1, 0, 0]",50.0,3835.9799999999814,0,16.0
2,15.0,0.0,4.0,"[1, 1, 2, 2]",88.0,1796.5800000000745,0,19.0
2,16.0,0.0,4.0,"[2, 2, 1, 1]",88.0,2241.1199999999953,0,35.0
2,17.0,0.0,4.0,"[0, 0, 1, 1]",48.0,1250.0200000000186,0,0.0
2,18.0,0.0,4.0,"[0, 1, 1, 0]",86.0,3188.1999999999534,0,4.0
2,19.0,0.0,4.0,"[0, 0, 1, 1]",38.0,1830.1600000000326,0,0.0
2,0.0,1.0,4.0,"[1, 1, 2, 2]",66.0,1266.1799999999348,0,19.0
2,1.0,1.0,4.0,"[1, 2, 2, 0]",38.0,3168.8000000000466,0,24.0
2,2.0,1.0,4.0,"[1, 2, 2, 1]",32.0,1075.6999999999534,0,25.0
2,3.0,1.0,3.0,"1,1,0",0.0,5896.920000000158,1,
2,4.0,1.0,4.0,"[1, 1, 0, 1]",60.0,4731.120000000112,0,17.0
2,5.0,1.0,4.0,"[1, 1, 0, 0]",96.0,1225.2600000000093,0,16.0
2,6.0,1.0,4.0,"[1, 1, 2, 2]",70.0,1219.4599999999627,0,19.0
2,7.0,1.0,3.0,"1,0,1",0.0,5902.64000000013,1,
2,8.0,1.0,4.0,"[2, 1, 2, 1]",62.0,3798.0,0,33.0
2,9.0,1.0,4.0,"[1, 0, 1, 0]",72.0,2629.1399999998976,0,12.0
2,10.0,1.0,4.0,"[0, 1, 1, 0]",88.0,1988.5800000000745,0,4.0
2,11.0,1.0,4.0,"[0, 1, 1, 0]",80.0,816.1199999998789,0,4.0
2,12.0,1.0,4.0,"[1, 1, 2, 1]",66.0,1443.7399999999907,0,18.0
2,13.0,1.0,3.0,"1,1,2",0.0,5852.160000000149,1,
2,14.0,1.0,4.0,"[1, 1, 2, 2]",90.0,797.9200000001583,0,19.0
2,15.0,1.0,4.0,"[1, 1, 2, 2]",86.0,865.160000000149,0,19.0
2,16.0,1.0,4.0,"[1, 1, 2, 2]",86.0,820.5200000000186,0,19.0
2,17.0,1.0,4.0,"[1, 1, 2, 2]",98.0,806.5400000000373,0,19.0
2,18.0,1.0,4.0,"[1, 1, 2, 2]",88.0,800.0999999998603,0,19.0
